col_name,Description,creation_method,Source,source link,Data quality issues,Other notes
prox_walk_dist_m_train,Walking distance to nearest train (meters),Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_walk_dist_m_brt,Walking distance to nearest brt (meters),Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_dist_m_bus,Crow-flies distance to nearest bus (meters),Created from PTV API,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_dist_m_tram,Crow-flies distance to nearest tram (meters),Created from PTV API,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_dist_m_train,Crow-flies distance to nearest train (meters),Created from PTV API,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_dist_m_brt,Crow-flies distance to nearest brt (meters),Only BRT is Doncaster bus line park and rides. ,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
traffic_pollution,Measure of how many traffic fumes and noise this property might experience relative to other properties in the dataset,Created from database of traffic on major roads. Uses decay function of fumes related to distance from road as per this NBER paper: https://www.nber.org/system/files/working_papers/w15413/w15413.pdf,DTP Traffic Volume Dataset,https://vicroadsopendata-vicroadsmaps.opendata.arcgis.com/datasets/traffic-volume,EXPERIMENTAL. Not happy with results as they stand,
vacant_in_2016,Was the property vacant in 2016,,Urban Development Program,,non-vacant properties could have large non residential buildings in them and still have 0 dwellings,
under_const_in_2016,Was the property undergoing construction in the stock dataset in 2016,Stock dataset from 2016,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,Only most recent development for a site included. ,
dev_id_flow,id of any development on this site,row number of dataset created by this repo,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_prj_id,UDP id number,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_year,Yea development finished,Year the development was completed. If blank could be the most recent year of the data,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_data_source_year,Most recent year of UDP flow data in which this development apears,"All ""flow"" data from developments are sourced from the most recent year of the dataset where that development appears",Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_dwlgs_total,Number of homes on development site,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,"Only included for developments >10 untis, so any development <10 units since 2016 is not in this dataset",
dev_dwlgs_townhouses,Number of townhouses on development site,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,Sometimes not included ,
dev_dwlgs_unknown_type,Number of dwellings on development site of unknown type,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,Sometimes not included ,
dev_dwlgs_apartments,Number of apartments on development site,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,Sometimes not included ,
dev_dwlgs_detached,Number of houses on development site,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,Sometimes not included ,
dev_prj_name_part,Project name for this stage/section of any development on site,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,Sometimes not included ,
dev_prj_name,Project name for any development on site,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_height_storeys,Height of tallest building on development site,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_status,Has the most recent development on the site finished,,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_id_stock_former,"Where land has been subdivided or consolidated, what was the original stock id that this piece of land came from",,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
dev_data_type,Is this property created by this repo?,Where there is a development that only occurs on part of a property on the 'stock' layer - this is the leftover property. Often this is an error. ,Strayr package,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
lga_name_2022,"ASGS area value - note that ""Merri-bek"" has been changed to it's new name, and if you are joining to other maps you might consider using lga_code_2022 which is unchanged",,Strayr package,https://runapp-aus.github.io/strayr/,,
lga_code_2022,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
postcode_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
suburb_name_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
ced_name_2021,Commonwealth electoral division,,Strayr package,https://runapp-aus.github.io/strayr/,,
sed_name_2022,State electoral division,,Strayr package,https://runapp-aus.github.io/strayr/,,
sa1_code_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
sa2_code_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
sa2_name_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
sa3_code_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
sa3_name_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
sa4_code_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
sa4_name_2021,ASGS area value,,Strayr package,https://runapp-aus.github.io/strayr/,,
geometry,polygon of package,,,,,
cbd_dist,Haversine distance to the CBD in meters,,,,,
zoning_permits_housing,States whether zoning permits housing,based on the zone_short and whether zoning permits housing in that zone_short,,,Note: zoning may permit housing but there could be a feature of interest such as a school etc that makes new housing impossible,
zone_description,Description of the zone,,VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/3,,
feature_preventing_development,Is there a feature of interest that makes development more difficult. ,Based on feature_type_short that would make development difficult,,,,
